Year,Age_Group,NumVisits,Age_adjusted_rate,countyfips,County,zip,Lat,Lng
2012,Children (0-17),14.0,59.6,6093,SISKIYOU,"96097
(41.723731554000494, -122.6388068659997)",41.723731554000494, -122.6388068659997
2012,Adults (18+),45.0,70.5,6093,SISKIYOU,"96097
(41.723731554000494, -122.6388068659997)",41.723731554000494, -122.6388068659997
2012,AllAges,37.0,70.5,6049,MODOC,"96101
(41.48728069900045, -120.5457090919997)",41.48728069900045, -120.5457090919997
2012,Adults (18+),28.0,69.3,6049,MODOC,"96101
(41.48728069900045, -120.5457090919997)",41.48728069900045, -120.5457090919997
2012,AllAges,29.0,68.7,6063,PLUMAS,"96122
(39.81859002800047, -120.46575664499971)",39.81859002800047, -120.46575664499971
2012,Children (0-17),14.0,157.9,6063,PLUMAS,"96122
(39.81859002800047, -120.46575664499971)",39.81859002800047, -120.46575664499971
2012,Adults (18+),15.0,37.8,6063,PLUMAS,"96122
(39.81859002800047, -120.46575664499971)",39.81859002800047, -120.46575664499971
2012,AllAges,69.0,31.5,6035,LASSEN,"96130
(40.4325610300005, -120.64955906799969)",40.4325610300005, -120.64955906799969
2012,Children (0-17),22.0,56.7,6035,LASSEN,"96130
(40.4325610300005, -120.64955906799969)",40.4325610300005, -120.64955906799969
2012,Adults (18+),47.0,22.7,6035,LASSEN,"96130
(40.4325610300005, -120.64955906799969)",40.4325610300005, -120.64955906799969
2012,AllAges,12.0,50.7,6035,LASSEN,"96137
(40.27827423000048, -121.11084657699968)",40.27827423000048, -121.11084657699968
2012,AllAges,40.0,13.9,6017,EL DORADO,"96150
(38.9150417890005, -119.9945190739997)",38.9150417890005, -119.9945190739997
2012,Adults (18+),30.0,12.9,6017,EL DORADO,"96150
(38.9150417890005, -119.9945190739997)",38.9150417890005, -119.9945190739997
2012,AllAges,19.0,6.9,6057,NEVADA,"96161
(39.34005284700049, -120.18931870499972)",39.34005284700049, -120.18931870499972
2009,All Ages,409.0,71.86580732,6037,LOS ANGELES,"90001
(33.973274047000075, -118.24896959899996)",33.973274047000075, -118.24896959899996
2009,Children (0-17),203.0,87.91557743,6037,LOS ANGELES,"90001
(33.973274047000075, -118.24896959899996)",33.973274047000075, -118.24896959899996
2009,Adults (18+),206.0,66.29286027,6037,LOS ANGELES,"90001
(33.973274047000075, -118.24896959899996)",33.973274047000075, -118.24896959899996
2009,All Ages,418.0,83.30946119,6037,LOS ANGELES,"90002
(33.94895070600006, -118.24697958699994)",33.94895070600006, -118.24697958699994
2009,Children (0-17),214.0,106.9332649,6037,LOS ANGELES,"90002
(33.94895070600006, -118.24697958699994)",33.94895070600006, -118.24697958699994
2009,Adults (18+),204.0,75.10658936,6037,LOS ANGELES,"90002
(33.94895070600006, -118.24697958699994)",33.94895070600006, -118.24697958699994
2009,All Ages,771.0,113.4121068,6037,LOS ANGELES,"90003
(33.963350054000045, -118.27393600099998)",33.963350054000045, -118.27393600099998
2009,Children (0-17),395.0,157.7857307,6037,LOS ANGELES,"90003
(33.963350054000045, -118.27393600099998)",33.963350054000045, -118.27393600099998
2009,Adults (18+),376.0,98.00429347,6037,LOS ANGELES,"90003
(33.963350054000045, -118.27393600099998)",33.963350054000045, -118.27393600099998
2009,All Ages,290.0,42.86817516,6037,LOS ANGELES,"90004
(34.075720587000035, -118.30301712299996)",34.075720587000035, -118.30301712299996
2009,Children (0-17),128.0,68.80951354,6037,LOS ANGELES,"90004
(34.075720587000035, -118.30301712299996)",34.075720587000035, -118.30301712299996
2009,Adults (18+),162.0,33.86058766,6037,LOS ANGELES,"90004
(34.075720587000035, -118.30301712299996)",34.075720587000035, -118.30301712299996
2009,All Ages,145.0,34.2795846,6037,LOS ANGELES,"90005
(34.05907052600003, -118.30301712299996)",34.05907052600003, -118.30301712299996
2009,Children (0-17),72.0,57.62222221,6037,LOS ANGELES,"90005
(34.05907052600003, -118.30301712299996)",34.05907052600003, -118.30301712299996
2009,Adults (18+),73.0,26.17434159,6037,LOS ANGELES,"90005
(34.05907052600003, -118.30301712299996)",34.05907052600003, -118.30301712299996
2009,All Ages,318.0,50.09230934,6037,LOS ANGELES,"90006
(34.05010243400005, -118.29268904499997)",34.05010243400005, -118.29268904499997
2009,Children (0-17),172.0,91.997778,6037,LOS ANGELES,"90006
(34.05010243400005, -118.29268904499997)",34.05010243400005, -118.29268904499997
